City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,amungan,15.3652,119.9582,27.45,73,10,1.04,PH,1682462967
205,yaya,56.206,86.44,-2.4,99,99,1.2,RU,1682462968
206,klyuchi,52.2667,79.1667,8.88,61,82,6.67,RU,1682462968
207,guiuan,11.0333,125.7247,27.55,77,77,3.79,PH,1682462969
208,inhambane,-23.865,35.3833,21.89,82,0,3.17,MZ,1682462969
209,funafuti,-8.5243,179.1942,31.0,74,75,3.09,TV,1682462970
210,santa cruz,-17.8,-63.1667,24.7,78,75,1.54,BO,1682462970
211,port alfred,-33.5906,26.891,20.1,97,99,3.85,ZA,1682462971
212,nova xavantina,-14.6667,-52.35,23.58,83,21,0.99,BR,1682462972
213,selcuk,37.9514,27.3685,18.34,83,85,2.35,TR,1682462972
214,pingliang,35.5392,106.6861,10.38,55,20,1.58,CN,1682462608
215,paea,-17.6833,-149.5833,28.84,79,75,5.14,PF,1682462973
216,taroa,8.7058,171.2275,27.55,79,100,8.45,MH,1682462973
217,belgern,51.4833,13.1333,5.61,77,77,4.32,DE,1682462973
218,acapulco de juarez,16.8634,-99.8901,29.9,62,40,4.63,MX,1682462974
219,sirjan,29.452,55.6814,17.23,40,87,3.98,IR,1682462975
220,port augusta,-32.5,137.7667,23.42,37,100,6.31,AU,1682462975
221,ingeniero guillermo n. juarez,-23.9,-61.85,18.77,81,12,0.94,AR,1682462976
222,morris,40.8334,-74.5329,13.79,35,40,2.06,US,1682462918
223,shangqiu,34.45,115.65,12.06,71,0,1.22,CN,1682462977
224,mbala,-8.8402,31.3659,16.1,94,19,3.95,ZM,1682462977
225,kavieng,-2.5744,150.7967,28.58,77,99,4.23,PG,1682462977
226,xiva,41.3783,60.3639,14.99,20,37,6.27,UZ,1682462978
227,agryz,56.5203,52.9942,13.77,60,100,3.11,RU,1682462978
228,siwa oasis,29.2041,25.5195,22.56,44,7,5.95,EG,1682462979
229,bereeda,11.8704,51.0579,28.0,77,4,4.64,SO,1682462980
230,anloga,5.7947,0.8973,28.35,83,81,6.35,GH,1682462980
231,enewetak,11.3474,162.3373,26.84,82,99,8.36,MH,1682462980
232,taro,-8.3862,115.28,22.0,94,47,0.33,ID,1682462981
233,tangalle,6.024,80.7911,25.39,89,100,1.84,LK,1682462981
234,kapit,2.0167,112.9333,23.39,98,100,0.31,MY,1682462982
235,elizabeth city,36.2946,-76.2511,15.01,61,0,5.66,US,1682462968
236,bure,10.7,37.0667,17.83,67,100,0.91,ET,1682462983
237,al wajh,26.2455,36.4525,21.97,60,0,1.54,SA,1682462984
238,krasnoshchekovo,51.6708,82.7289,6.07,49,100,9.38,RU,1682462984
239,mount pearl,47.5166,-52.7813,1.58,95,100,6.69,CA,1682462912
240,st. john's,47.5649,-52.7093,2.04,95,100,7.15,CA,1682462985
241,mount isa,-20.7333,139.5,24.87,50,94,4.12,AU,1682462986
242,chandor,20.3333,74.25,24.2,32,81,1.33,IN,1682462986
243,khovd,48.0056,91.6419,-4.47,42,23,4.09,MN,1682462987
244,cova figueira,14.8905,-24.2934,20.81,76,13,5.89,CV,1682462987
245,ust'-ilimsk,58.0006,102.6619,-1.65,94,100,4.01,RU,1682462988
246,ouro preto do oeste,-10.7481,-62.2158,23.37,93,100,0.57,BR,1682462988
247,portland,45.5234,-122.6762,20.26,49,20,3.09,US,1682462967
248,vorgashor,67.5833,63.95,-11.9,99,71,3.94,RU,1682462989
249,salem,11.65,78.1667,24.91,84,100,0.22,IN,1682462715
250,grand falls-windsor,48.9332,-55.6649,0.84,90,99,0.45,CA,1682462990
251,petra-dubrava,53.2961,50.3655,10.85,84,100,5.17,RU,1682462991
252,taltal,-25.4,-70.4833,17.87,85,28,1.88,CL,1682462992
253,luanda,-8.8368,13.2343,27.0,94,75,1.54,AO,1682462992
254,lospalos,-8.5186,127.0025,23.69,90,93,2.49,TL,1682462636
255,eurajoki,61.2,21.7333,6.01,94,100,0.95,FI,1682462993
256,tazovsky,67.4667,78.7,-12.5,98,99,3.44,RU,1682462611
257,alice springs,-23.7,133.8833,19.75,60,68,0.0,AU,1682462747
258,kamaishi,39.2667,141.8833,11.37,98,100,6.93,JP,1682462994
259,qui nhon,13.7667,109.2333,25.01,86,98,3.03,VN,1682462995
260,adre,13.4667,22.2,29.25,27,80,3.34,TD,1682462995
261,lompoc,34.6391,-120.4579,23.34,75,75,3.58,US,1682462996
262,akhmim,26.5622,31.745,24.11,23,0,2.57,EG,1682462997
263,tondano,1.3038,124.9112,22.05,82,55,0.18,ID,1682462998
264,sauri,11.7266,6.7837,32.44,26,100,2.78,NG,1682462998
265,laojunmiao,39.8333,97.7333,4.61,38,39,2.17,CN,1682462643
266,constantia,44.1833,28.65,11.5,94,100,2.61,RO,1682462636
267,port-cartier,50.0334,-66.8654,7.12,76,59,2.3,CA,1682462963
268,nadi,-17.8,177.4167,29.0,61,20,1.54,FJ,1682463000
269,kikwit,-5.041,18.8162,22.02,95,81,0.34,CD,1682463001
270,buchanan,5.8808,-10.0467,27.04,85,95,2.69,LR,1682463001
271,mazamari,-11.3258,-74.5308,21.74,97,99,0.63,PE,1682463002
272,sukumo,32.9333,132.7333,14.27,91,100,6.1,JP,1682463003
273,bel ombre,-4.6167,55.4167,27.91,83,40,1.54,SC,1682463004
274,volodarskiy,46.4013,48.5409,10.97,83,98,3.82,RU,1682463004
275,posse,-14.0931,-46.3694,23.03,50,22,2.45,BR,1682463005
276,queenstown,-31.8976,26.8753,14.14,88,63,0.83,ZA,1682463005
277,tura,25.5198,90.2201,21.98,46,57,1.12,IN,1682462419
278,mount pleasant,32.7941,-79.8626,21.16,71,20,6.69,US,1682462801
279,cabo san lucas,22.8909,-109.9124,32.01,36,0,6.17,MX,1682463008
280,trairi,-3.2778,-39.2689,25.64,84,100,2.57,BR,1682463008
281,burela de cabo,43.65,-7.4,16.21,92,100,2.15,ES,1682463009
282,rivne,50.6231,26.2274,12.82,92,100,3.75,UA,1682463009
283,kruisfontein,-34.0033,24.7314,16.6,94,79,1.25,ZA,1682463010
284,prachuap khiri khan,12.2167,99.75,22.94,92,91,1.21,TH,1682463010
285,kirchhundem,51.1,8.1,1.52,95,50,0.98,DE,1682463011
286,nyurba,63.2842,118.3319,-3.67,95,100,0.23,RU,1682463011
287,itoman,26.1247,127.6694,20.22,96,75,9.77,JP,1682463012
288,oppdal,62.5943,9.6912,-3.63,97,100,1.74,NO,1682463012
289,chengde,40.9725,117.9361,5.65,19,40,0.41,CN,1682463013
290,mhamid,29.82,-5.72,28.59,13,33,2.73,MA,1682463013
291,namibe,-15.1961,12.1522,23.16,82,65,3.47,AO,1682462640
